"Month","Year","Passengers_Total"
"Jan","2019",59405722
"Jan","2020",61930286
"Jan","2021",23598230
"Feb","2019",57345684
"Feb","2020",62745695
"Feb","2021",24446345
"Mar","2019",72680065
"Mar","2020",35139502
"Mar","2021",24502728
"Apr","2019",70124591
"Apr","2020",3287008
"May","2019",74499253
"May","2020",7165829
"Jun","2019",76619900
"Jun","2020",14481802
"Jul","2019",79511968
"Jul","2020",20740781
"Aug","2019",74776010
"Aug","2020",21708071
"Sep","2019",66531258
"Sep","2020",21488263
"Oct","2019",72096495
"Oct","2020",25636496
"Nov","2019",68787654
"Nov","2020",25512987
"Dec","2019",70219363
"Dec","2020",26391765
